省,市,日期,星期,最高温度,最低温度,天气,风向风力
北京,门头沟,2011-07-06,  ,32℃,19℃,阴~中雨,无持续风向 微风
北京,门头沟,2011-07-07,  ,32℃,19℃,雷阵雨,无持续风向 微风
北京,门头沟,2011-07-08,  ,32℃,21℃,多云~晴,无持续风向 微风
北京,门头沟,2011-07-09,  ,35℃,21℃,晴,无持续风向 微风
北京,门头沟,2011-07-10,  ,32℃,22℃,阵雨~阴,无持续风向 微风
北京,门头沟,2011-07-11,  ,33℃,20℃,多云~雷阵雨,无持续风向 微风
北京,门头沟,2011-07-12,  ,30℃,22℃,雷阵雨~阵雨,无持续风向 微风
北京,门头沟,2011-07-13,  ,31℃,24℃,多云~雷阵雨,无持续风向 微风
北京,门头沟,2011-07-14,  ,31℃,22℃,雷阵雨,无持续风向 微风
北京,门头沟,2011-07-15,  ,32℃,22℃,雷阵雨,无持续风向 微风
北京,门头沟,2011-07-16,  ,31℃,20℃,多云~雷阵雨,无持续风向 微风
北京,门头沟,2011-07-17,  ,30℃,19℃,中雨,无持续风向 微风
北京,门头沟,2011-07-18,  ,28℃,21℃,中雨~阵雨,无持续风向 微风
北京,门头沟,2011-07-19,  ,29℃,21℃,雷阵雨~阵雨,无持续风向 微风
北京,门头沟,2011-07-20,  ,28℃,20℃,阵雨,无持续风向 微风
北京,门头沟,2011-07-21,  ,29℃,21℃,雷阵雨,无持续风向 微风
北京,门头沟,2011-07-22,  ,31℃,23℃,雷阵雨~晴,无持续风向 微风
北京,门头沟,2011-07-23,  ,32℃,25℃,雾~多云,无持续风向 微风
北京,门头沟,2011-07-24,  ,31℃,22℃,暴雨~大雨,无持续风向 微风
北京,门头沟,2011-07-25,  ,30℃,23℃,阵雨~晴,无持续风向 微风
北京,门头沟,2011-07-26,  ,35℃,24℃,晴~多云,无持续风向 微风
北京,门头沟,2011-07-27,  ,32℃,24℃,雷阵雨,无持续风向 微风
北京,门头沟,2011-07-28,  ,31℃,25℃,阴~多云,无持续风向 微风
北京,门头沟,2011-07-29,  ,27℃,23℃,大到暴雨~中雨,无持续风向 微风
北京,门头沟,2011-07-30,  ,33℃,23℃,晴,无持续风向 微风
北京,门头沟,2011-07-31,  ,34℃,24℃,晴~雷阵雨,无持续风向 微风
北京,平谷,2011-02-01,  ,6℃,-8℃,晴~多云,无持续风向 微风
北京,平谷,2011-02-02,  ,5℃,-9℃,多云~晴,无持续风向 微风
北京,平谷,2011-02-03,  ,5℃,-8℃,晴~多云,无持续风向 微风
北京,平谷,2011-02-04,  ,7℃,-8℃,多云~晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-02-05,  ,3℃,-6℃,多云~晴,无持续风向 微风
北京,平谷,2011-02-06,  ,8℃,-6℃,晴~多云,无持续风向 微风
北京,平谷,2011-02-07,  ,4℃,-6℃,阴~多云,无持续风向 微风
北京,平谷,2011-02-08,  ,7℃,-7℃,多云~晴,无持续风向 微风
北京,平谷,2011-02-09,  ,2℃,-4℃,多云~小雪,无持续风向 微风
北京,平谷,2011-02-10,  ,-2℃,-7℃,小雪~晴,无持续风向 微风
北京,平谷,2011-02-11,  ,0℃,-15℃,晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-02-12,  ,-4℃,-10℃,阴,无持续风向 微风
北京,平谷,2011-02-13,  ,-2℃,-14℃,小雪~晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-02-14,  ,0℃,-11℃,晴,无持续风向 微风
北京,平谷,2011-02-15,  ,1℃,-9℃,晴~多云,无持续风向 微风
北京,平谷,2011-02-16,  ,-2℃,-8℃,小雪~晴,无持续风向 微风
北京,平谷,2011-02-17,  ,5℃,-11℃,晴,无持续风向 微风
北京,平谷,2011-02-18,  ,8℃,-7℃,晴,无持续风向 微风
北京,平谷,2011-02-19,  ,10℃,-7℃,晴,无持续风向 微风
北京,平谷,2011-02-20,  ,8℃,-7℃,多云~晴,无持续风向 微风
北京,平谷,2011-02-21,  ,6℃,-5℃,晴,无持续风向 微风
北京,平谷,2011-02-22,  ,8℃,-4℃,多云,无持续风向 微风
北京,平谷,2011-02-23,  ,9℃,0℃,多云,无持续风向 微风
北京,平谷,2011-02-24,  ,10℃,-3℃,晴,无持续风向 微风
北京,平谷,2011-02-25,  ,5℃,-3℃,多云~中雪,无持续风向 微风
北京,平谷,2011-02-26,  ,2℃,-6℃,小雪,无持续风向 微风
北京,平谷,2011-02-27,  ,2℃,-7℃,小雪~阴,无持续风向 微风
北京,平谷,2011-02-28,  ,5℃,-6℃,多云~晴,无持续风向~北风 微风~3-4级
北京,平谷,2011-04-01,  ,12℃,1℃,小雨,无持续风向 微风
北京,平谷,2011-04-02,  ,13℃,-1℃,晴,无持续风向 微风
北京,平谷,2011-04-03,  ,16℃,0℃,晴,无持续风向 微风
北京,平谷,2011-04-04,  ,20℃,3℃,晴,无持续风向 微风
北京,平谷,2011-04-05,  ,19℃,5℃,多云~阴,无持续风向 微风
北京,平谷,2011-04-06,  ,19℃,6℃,多云,无持续风向 微风
北京,平谷,2011-04-07,  ,18℃,2℃,多云~晴,北风 3-4级
北京,平谷,2011-04-08,  ,19℃,4℃,晴~多云,无持续风向 微风
北京,平谷,2011-04-09,  ,20℃,7℃,阴~小雨,无持续风向 微风
北京,平谷,2011-04-10,  ,16℃,1℃,多云~晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-04-11,  ,22℃,5℃,晴,无持续风向 微风
北京,平谷,2011-04-12,  ,26℃,6℃,晴,无持续风向 微风
北京,平谷,2011-04-13,  ,26℃,9℃,多云,无持续风向 微风
北京,平谷,2011-04-14,  ,28℃,12℃,晴~多云,无持续风向 微风
北京,平谷,2011-04-15,  ,24℃,4℃,晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-04-16,  ,24℃,12℃,晴~阴,西南风~北风 3-4级
北京,平谷,2011-04-17,  ,18℃,8℃,晴,北风 5-6级~4-5级
北京,平谷,2011-04-18,  ,20℃,5℃,晴,无持续风向 微风
北京,平谷,2011-04-19,  ,23℃,9℃,晴,无持续风向 微风
北京,平谷,2011-04-20,  ,22℃,13℃,多云~小雨,无持续风向 微风
北京,平谷,2011-04-21,  ,17℃,6℃,小雨~多云,无持续风向 微风
北京,平谷,2011-04-22,  ,19℃,6℃,阴~阵雨,北风~无持续风向 3-4级~微风
北京,平谷,2011-04-23,  ,20℃,7℃,阵雨~晴,无持续风向 微风
北京,平谷,2011-04-24,  ,21℃,7℃,阵雨~多云,无持续风向 微风
北京,平谷,2011-04-25,  ,16℃,7℃,阴~阵雨,无持续风向 微风
北京,平谷,2011-04-26,  ,19℃,7℃,阵雨~晴,无持续风向 微风
北京,平谷,2011-04-27,  ,21℃,7℃,阵雨~晴,无持续风向 微风
北京,平谷,2011-04-28,  ,23℃,10℃,晴~阴,无持续风向 微风
北京,平谷,2011-04-29,  ,22℃,10℃,阵雨,无持续风向~北风 微风~3-4级
北京,平谷,2011-04-30,  ,20℃,9℃,阴~晴,北风 5-6级~4-5级
北京,平谷,2011-06-01,  ,32℃,15℃,晴,无持续风向 微风
北京,平谷,2011-06-02,  ,33℃,20℃,雷阵雨,无持续风向 微风
北京,平谷,2011-06-03,  ,31℃,18℃,晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-06-04,  ,30℃,19℃,多云,无持续风向 微风
北京,平谷,2011-06-05,  ,32℃,18℃,阴~阵雨,无持续风向 微风
北京,平谷,2011-06-06,  ,31℃,18℃,雷阵雨,无持续风向 微风
北京,平谷,2011-06-07,  ,35℃,17℃,多云~雷阵雨,无持续风向 微风
北京,平谷,2011-06-08,  ,33℃,19℃,晴,无持续风向 微风
北京,平谷,2011-06-09,  ,32℃,20℃,多云,无持续风向 微风
北京,平谷,2011-06-10,  ,31℃,17℃,雷阵雨~中雨,无持续风向 微风
北京,平谷,2011-06-11,  ,28℃,16℃,雷阵雨~晴,无持续风向 微风
北京,平谷,2011-06-12,  ,34℃,17℃,晴,无持续风向 微风
北京,平谷,2011-06-13,  ,32℃,19℃,晴~多云,无持续风向 微风
北京,平谷,2011-06-14,  ,32℃,20℃,多云~阵雨,无持续风向 微风
北京,平谷,2011-06-15,  ,30℃,18℃,雷阵雨~中到大雨,无持续风向 微风
北京,平谷,2011-06-16,  ,25℃,17℃,雷阵雨,无持续风向 微风
北京,平谷,2011-06-17,  ,29℃,18℃,晴,无持续风向 微风
北京,平谷,2011-06-18,  ,32℃,19℃,晴,无持续风向 微风
北京,平谷,2011-06-19,  ,33℃,20℃,晴,无持续风向 微风
北京,平谷,2011-06-20,  ,32℃,21℃,多云,无持续风向 微风
北京,平谷,2011-06-21,  ,33℃,23℃,多云,无持续风向 微风
北京,平谷,2011-06-22,  ,29℃,23℃,阵雨~雷阵雨,无持续风向 微风
北京,平谷,2011-06-23,  ,27℃,17℃,中雨~中到大雨,无持续风向 微风
北京,平谷,2011-06-24,  ,25℃,17℃,阴~多云,无持续风向 微风
北京,平谷,2011-06-25,  ,31℃,17℃,晴,无持续风向 微风
北京,平谷,2011-06-26,  ,31℃,18℃,晴~多云,无持续风向 微风
北京,平谷,2011-06-27,  ,31℃,19℃,多云~阴,无持续风向 微风
北京,平谷,2011-06-28,  ,32℃,20℃,晴,无持续风向 微风
北京,平谷,2011-06-29,  ,30℃,20℃,多云~阵雨,无持续风向 微风
北京,平谷,2011-06-30,  ,30℃,21℃,多云~阵雨,无持续风向 微风
北京,平谷,2011-10-01,  ,20℃,7℃,晴,无持续风向 微风
北京,平谷,2011-10-02,  ,20℃,4℃,晴,无持续风向 微风
北京,平谷,2011-10-03,  ,20℃,5℃,晴,无持续风向 微风
北京,平谷,2011-10-04,  ,20℃,9℃,多云~阴,无持续风向 微风
北京,平谷,2011-10-05,  ,25℃,6℃,晴,无持续风向 微风
北京,平谷,2011-10-06,  ,23℃,9℃,晴,无持续风向 微风
北京,平谷,2011-10-07,  ,23℃,8℃,晴,无持续风向 微风
北京,平谷,2011-10-08,  ,22℃,11℃,多云~阴,无持续风向 微风
北京,平谷,2011-10-09,  ,23℃,8℃,多云~晴,无持续风向 微风
北京,平谷,2011-10-10,  ,21℃,11℃,多云,无持续风向 微风
北京,平谷,2011-10-11,  ,21℃,12℃,多云,无持续风向 微风
北京,平谷,2011-10-12,  ,19℃,11℃,阴~小雨,无持续风向 微风
北京,平谷,2011-10-13,  ,20℃,9℃,晴~多云,无持续风向 微风
北京,平谷,2011-10-14,  ,18℃,9℃,多云~晴,北风 3-4级~4-5级
北京,平谷,2011-10-15,  ,20℃,7℃,晴,北风 4-5级~3-4级
北京,平谷,2011-10-16,  ,21℃,4℃,晴,无持续风向 微风
北京,平谷,2011-10-17,  ,18℃,8℃,晴,无持续风向 微风
北京,平谷,2011-10-18,  ,19℃,7℃,晴,无持续风向 微风
北京,平谷,2011-10-19,  ,18℃,9℃,多云~阴,无持续风向 微风
北京,平谷,2011-10-20,  ,18℃,9℃,雾,无持续风向 微风
北京,平谷,2011-10-21,  ,18℃,10℃,多云~雾,无持续风向 微风
北京,平谷,2011-10-22,  ,19℃,11℃,多云~阴,无持续风向 微风
北京,平谷,2011-10-23,  ,16℃,4℃,小雨~晴,北风 4-5级
北京,平谷,2011-10-24,  ,13℃,-1℃,晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-10-25,  ,15℃,2℃,晴~多云,无持续风向 微风
北京,平谷,2011-10-26,  ,12℃,2℃,小雨~阴,无持续风向 微风
北京,平谷,2011-10-27,  ,15℃,1℃,晴,无持续风向 微风
北京,平谷,2011-10-28,  ,15℃,3℃,晴~多云,无持续风向 微风
北京,平谷,2011-10-29,  ,16℃,4℃,晴,无持续风向 微风
北京,平谷,2011-10-30,  ,14℃,6℃,雾,无持续风向 微风
北京,平谷,2011-10-31,  ,15℃,7℃,阴~小雨,无持续风向 微风
北京,平谷,2011-11-01,  ,17℃,7℃,小雨~阴,无持续风向 微风
北京,平谷,2011-11-02,  ,15℃,5℃,多云,无持续风向 微风
北京,平谷,2011-11-03,  ,14℃,9℃,阴~小雨,无持续风向 微风
北京,平谷,2011-11-04,  ,14℃,4℃,小雨~多云,无持续风向 微风
北京,平谷,2011-11-05,  ,13℃,3℃,小雨~多云,无持续风向 微风
北京,平谷,2011-11-06,  ,12℃,6℃,阴~多云,无持续风向 微风
北京,平谷,2011-11-07,  ,13℃,5℃,多云,无持续风向 微风
北京,平谷,2011-11-08,  ,14℃,4℃,阴,无持续风向 微风
北京,平谷,2011-11-09,  ,14℃,0℃,晴,无持续风向 微风
北京,平谷,2011-11-10,  ,15℃,1℃,晴~多云,无持续风向 微风
北京,平谷,2011-11-11,  ,12℃,6℃,多云,无持续风向 微风
北京,平谷,2011-11-12,  ,14℃,-2℃,晴,北风 3-4级
北京,平谷,2011-11-13,  ,11℃,-1℃,晴,无持续风向 微风
北京,平谷,2011-11-14,  ,12℃,-2℃,晴,无持续风向 微风
北京,平谷,2011-11-15,  ,12℃,1℃,晴~多云,无持续风向 微风
北京,平谷,2011-11-16,  ,9℃,5℃,阴~小雨,无持续风向 微风
北京,平谷,2011-11-17,  ,8℃,4℃,小雨~阴,无持续风向 微风
北京,平谷,2011-11-18,  ,13℃,0℃,多云,无持续风向~北风 微风~3-4级
北京,平谷,2011-11-19,  ,7℃,-6℃,晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-11-20,  ,7℃,-6℃,晴,无持续风向 微风
北京,平谷,2011-11-21,  ,8℃,0℃,晴~阴,无持续风向 微风
北京,平谷,2011-11-22,  ,12℃,-4℃,多云~晴,北风 4-5级
北京,平谷,2011-11-23,  ,6℃,-6℃,晴,无持续风向 微风
北京,平谷,2011-11-24,  ,4℃,-6℃,多云~晴,无持续风向 微风
北京,平谷,2011-11-25,  ,4℃,-4℃,晴~多云,无持续风向 微风
北京,平谷,2011-11-26,  ,6℃,-3℃,多云~晴,无持续风向 微风
北京,平谷,2011-11-27,  ,9℃,-3℃,多云,无持续风向 微风
北京,平谷,2011-11-28,  ,9℃,-3℃,晴~阴,无持续风向 微风
北京,平谷,2011-11-29,  ,3℃,-7℃,阴~多云,无持续风向 微风
北京,平谷,2011-11-30,  ,4℃,-8℃,晴,无持续风向 微风
北京,平谷,2011-12-01,  ,3℃,-4℃,晴~阴,无持续风向 微风
北京,平谷,2011-12-02,  ,3℃,-7℃,小雪~多云,无持续风向 微风
北京,平谷,2011-12-03,  ,5℃,-7℃,晴,无持续风向 微风
北京,平谷,2011-12-04,  ,3℃,-6℃,晴~多云,无持续风向 微风
北京,平谷,2011-12-05,  ,2℃,-3℃,小雪,无持续风向 微风
北京,平谷,2011-12-06,  ,2℃,-4℃,小雪,无持续风向~北风 微风~3-4级
北京,平谷,2011-12-07,  ,6℃,-8℃,多云~晴,北风 3-4级
北京,平谷,2011-12-08,  ,-1℃,-10℃,晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-12-09,  ,0℃,-8℃,晴,无持续风向~北风 微风~3-4级
北京,平谷,2011-12-10,  ,3℃,-7℃,晴,北风~无持续风向 3-4级~微风
北京,平谷,2011-12-11,  ,6℃,-7℃,晴,无持续风向 微风
北京,平谷,2011-12-12,  ,5℃,-5℃,晴~多云,无持续风向 微风
北京,平谷,2011-12-13,  ,4℃,-6℃,多云~晴,无持续风向~北风 微风~3-4级
北京,平谷,2011-12-14,  ,1℃,-8℃,晴,北风 4-5级~3-4级
北京,平谷,2011-12-15,  ,0℃,-10℃,晴,北风 4-5级
北京,平谷,2011-12-16,  ,0℃,-12℃,晴,无持续风向 微风
北京,平谷,2011-12-17,  ,2℃,-13℃,晴,无持续风向 微风
北京,平谷,2011-12-18,  ,2℃,-11℃,晴~多云,无持续风向 微风
北京,平谷,2011-12-19,  ,1℃,-9℃,多云,无持续风向 微风
北京,平谷,2011-12-20,  ,2℃,-6℃,晴~多云,无持续风向~北风 微风~3-4级
北京,平谷,2011-12-21,  ,2℃,-11℃,晴,北风 4-5级~3-4级
北京,平谷,2011-12-22,  ,1℃,-10℃,晴,无持续风向 微风
北京,平谷,2011-12-23,  ,2℃,-11℃,晴,无持续风向 微风
北京,平谷,2011-12-24,  ,2℃,-12℃,晴,无持续风向 微风
北京,平谷,2011-12-25,  ,3℃,-12℃,晴,无持续风向 微风
北京,平谷,2011-12-26,  ,1℃,-10℃,晴~多云,无持续风向 微风
北京,平谷,2011-12-27,  ,2℃,-8℃,多云~阴,无持续风向 微风
北京,平谷,2011-12-28,  ,5℃,-10℃,晴~多云,无持续风向 微风
北京,平谷,2011-12-29,  ,-2℃,-8℃,小雪~阴,无持续风向 微风
北京,平谷,2011-12-30,  ,-2℃,-7℃,阴~多云,无持续风向 微风
北京,平谷,2011-12-31,  ,3℃,-11℃,晴,无持续风向 微风
北京,海淀,2012-02-01,  ,-3℃,-12℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2012-02-02,  ,-1℃,-12℃,晴,无持续风向 微风
北京,海淀,2012-02-03,  ,2℃,-9℃,晴,无持续风向 微风
北京,海淀,2012-02-04,  ,4℃,-7℃,晴~多云,无持续风向 微风
北京,海淀,2012-02-05,  ,3℃,-7℃,多云~晴,无持续风向~北风 微风~4-5级
北京,海淀,2012-02-06,  ,-3℃,-12℃,晴,北风 5-6级~3-4级
北京,海淀,2012-02-07,  ,-2℃,-10℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2012-02-08,  ,2℃,-9℃,晴,无持续风向 微风
北京,海淀,2012-02-09,  ,4℃,-8℃,多云~晴,无持续风向 微风
北京,海淀,2012-02-10,  ,3℃,-8℃,晴~多云,无持续风向 微风
北京,海淀,2012-02-11,  ,5℃,-6℃,晴,无持续风向 微风
北京,海淀,2012-02-12,  ,4℃,-4℃,多云,无持续风向 微风
北京,海淀,2012-02-13,  ,4℃,-2℃,多云~阴,无持续风向 微风
北京,海淀,2012-02-14,  ,5℃,-6℃,多云,北风~无持续风向 3-4级~微风
北京,海淀,2012-02-15,  ,2℃,-4℃,晴,无持续风向~北风 微风~3-4级
北京,海淀,2012-02-16,  ,2℃,-7℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2012-02-17,  ,1℃,-7℃,晴,无持续风向 微风
北京,海淀,2012-02-18,  ,4℃,-7℃,晴,无持续风向 微风
北京,海淀,2012-02-19,  ,6℃,-5℃,晴,无持续风向 微风
北京,海淀,2012-02-20,  ,8℃,-3℃,晴~多云,无持续风向 微风
北京,海淀,2012-02-21,  ,5℃,-2℃,多云~阴,无持续风向 微风
北京,海淀,2012-02-22,  ,7℃,-2℃,阴~晴,北风 3-4级
北京,海淀,2012-02-23,  ,5℃,-2℃,晴~阴,无持续风向 微风
北京,海淀,2012-02-24,  ,5℃,-4℃,阴~多云,北风~无持续风向 3-4级~微风
北京,海淀,2012-02-25,  ,4℃,-5℃,晴,无持续风向 微风
北京,海淀,2012-02-26,  ,6℃,-4℃,晴,无持续风向 微风
北京,海淀,2012-02-27,  ,6℃,-2℃,晴~多云,无持续风向 微风
北京,海淀,2012-02-28,  ,6℃,-1℃,多云~阴,无持续风向 微风
北京,海淀,2012-02-29,  ,8℃,0℃,多云~雨夹雪,无持续风向 微风
北京,海淀,2012-04-01, 周日 ,25℃,11℃,晴,微风 小于3级
北京,海淀,2012-04-02, 周一 ,24℃,12℃,晴,微风 小于3级
北京,海淀,2012-04-03, 周二 ,24℃,12℃,晴,微风 小于3级
北京,海淀,2012-04-04, 周三 ,24℃,12℃,晴,微风 小于3级
北京,海淀,2012-04-05, 周四 ,25℃,11℃,晴,微风 小于3级
北京,海淀,2012-04-06, 周五 ,24℃,12℃,晴,微风 小于3级
北京,海淀,2012-04-07, 周六 ,25℃,11℃,晴,微风 小于3级
北京,海淀,2012-04-08, 周日 ,26℃,10℃,晴,微风 小于3级
北京,海淀,2012-04-09, 周一 ,26℃,10℃,晴,微风 小于3级
北京,海淀,2012-04-10, 周二 ,26℃,10℃,晴,微风 小于3级
北京,海淀,2012-04-11, 周三 ,27℃,9℃,晴,微风 小于3级
北京,海淀,2012-04-12, 星期四 ,26℃,10℃,晴,微风 小于3级
北京,海淀,2012-04-13, 星期五 ,28℃,11℃,晴,微风 小于3级
北京,海淀,2012-04-14, 星期六 ,28℃,14℃,晴转多云,微风~南风 小于3级~3-4级
北京,海淀,2012-04-15, 星期日 ,23℃,9℃,多云转阴,微风~北风 小于3级~4-5级
北京,海淀,2012-04-16, 星期一 ,28℃,10℃,晴,北风~微风 4-5级~小于3级
北京,海淀,2012-04-17, 星期二 ,25℃,14℃,晴,微风 小于3级
北京,海淀,2012-04-18, 星期三 ,23℃,14℃,多云转阴,南风 3-4级
北京,海淀,2012-04-19, 星期四 ,23℃,12℃,阵雨,微风 小于3级
北京,海淀,2012-04-20, 星期五 ,19℃,11℃,雷阵雨转多云,微风 小于3级
北京,海淀,2012-04-21, 星期六 ,24℃,11℃,阵雨转小雨,微风 小于3级
北京,海淀,2012-04-22, 星期日 ,25℃,14℃,雾转多云,微风 小于3级
北京,海淀,2012-04-23, 星期一 ,20℃,14℃,多云转阴,微风 小于3级
北京,海淀,2012-04-24, 星期二 ,19℃,11℃,中到大雨转中雨,微风~北风 小于3级~3-4级
北京,海淀,2012-04-25, 星期三 ,24℃,6℃,小雨转晴,北风 3-4级~4-5级
北京,海淀,2012-04-26, 星期四 ,23℃,13℃,晴转多云,北风~微风 3-4级~小于3级
北京,海淀,2012-04-27, 星期五 ,22℃,12℃,多云转晴,北风 3-4级~4-5级
北京,海淀,2012-04-28, 星期六 ,21℃,10℃,晴转多云,北风~微风 4-5级~小于3级
北京,海淀,2012-04-29, 星期日 ,24℃,12℃,晴转多云,微风 小于3级
北京,海淀,2012-04-30, 星期一 ,22℃,16℃,浮尘,微风 小于3级
北京,海淀,2012-11-01, 星期四 ,15℃,1℃,晴,微风 小于3级
北京,海淀,2012-11-02, 星期五 ,15℃,3℃,晴转多云,微风 小于3级
北京,海淀,2012-11-03, 星期六 ,9℃,6℃,阴转中雨,微风 小于3级
北京,海淀,2012-11-04, 星期日 ,4℃,1℃,大雨转中雨,北风 4-5级
北京,海淀,2012-11-05, 星期一 ,10℃,0℃,雨夹雪转多云,北风 4-5级~3-4级
北京,海淀,2012-11-06, 星期二 ,12℃,-2℃,晴,微风 小于3级
北京,海淀,2012-11-07, 星期三 ,12℃,-1℃,晴转多云,微风~北风 小于3级~3-4级
北京,海淀,2012-11-08, 星期四 ,12℃,-1℃,多云转晴,微风 小于3级
北京,海淀,2012-11-09, 星期五 ,11℃,1℃,晴转阴,微风 小于3级
北京,海淀,2012-11-10, 星期六 ,4℃,3℃,小雨转中雨,微风 小于3级
北京,海淀,2012-11-11, 星期日 ,6℃,0℃,阴转晴,北风 5-6级
北京,海淀,2012-11-12, 星期一 ,8℃,-2℃,晴,北风 4-5级~3-4级
北京,海淀,2012-11-13, 星期二 ,7℃,-2℃,晴,北风 3-4级
北京,海淀,2012-11-14, 星期三 ,10℃,-3℃,晴,北风~微风 3-4级~小于3级
北京,海淀,2012-11-15, 星期四 ,8℃,-4℃,晴转阴,微风 小于3级
北京,海淀,2012-11-16, 星期五 ,11℃,1℃,雨夹雪转晴,微风~北风 小于3级~3-4级
北京,海淀,2012-11-17, 星期六 ,10℃,-2℃,晴,微风 小于3级
北京,海淀,2012-11-18, 星期日 ,11℃,-1℃,多云,微风~北风 小于3级~3-4级
北京,海淀,2012-11-19, 星期一 ,10℃,2℃,晴,北风~微风 3-4级~小于3级
北京,海淀,2012-11-20, 星期二 ,10℃,-2℃,晴,微风 小于3级
北京,海淀,2012-11-21, 星期三 ,9℃,2℃,多云转阴,微风~北风 小于3级~4-5级
北京,海淀,2012-11-22, 星期四 ,8℃,2℃,阴转晴,北风 3-4级~5-6级
北京,海淀,2012-11-23, 星期五 ,6℃,-3℃,多云转晴,北风~微风 4-5级~小于3级
北京,海淀,2012-11-24, 星期六 ,7℃,-5℃,晴,微风 小于3级
北京,海淀,2012-11-25, 星期日 ,8℃,-3℃,多云,微风~北风 小于3级~3-4级
北京,海淀,2012-11-26, 星期一 ,6℃,-2℃,晴,北风 4-5级~3-4级
北京,海淀,2012-11-27, 星期二 ,6℃,-4℃,多云转阴,微风 小于3级
北京,海淀,2012-11-28, 星期三 ,5℃,-2℃,多云转晴,北风 4-5级
北京,海淀,2012-11-29, 星期四 ,4℃,-3℃,多云转晴,微风~北风 小于3级~3-4级
北京,海淀,2012-11-30, 星期五 ,3℃,-4℃,晴,北风~微风 3-4级~小于3级
北京,海淀,2012-12-01, 星期六 ,1℃,-5℃,阴转多云,微风 小于3级
北京,海淀,2012-12-02, 星期日 ,2℃,-3℃,阴,微风~北风 小于3级~4-5级
北京,海淀,2012-12-03, 星期一 ,3℃,-4℃,雾转晴,北风 5-6级
北京,海淀,2012-12-04, 星期二 ,1℃,-5℃,阴,微风~北风 小于3级~3-4级
北京,海淀,2012-12-05, 星期三 ,-1℃,-5℃,多云转晴,北风 4-5级
北京,海淀,2012-12-06, 星期四 ,-1℃,-9℃,晴转多云,微风 小于3级
北京,海淀,2012-12-07, 星期五 ,-1℃,-8℃,多云,微风~北风 小于3级~3-4级
北京,海淀,2012-12-08, 周六 ,0℃,-8℃,晴转阴,微风 微风
北京,海淀,2012-12-09, 周日 ,0℃,-8℃,晴转阴,微风 微风
北京,海淀,2012-12-10, 周一 ,0℃,-5℃,多云转阴,微风 小于3级
北京,海淀,2012-12-11, 星期二 ,0℃,-5℃,多云转阴,微风 小于3级
北京,海淀,2012-12-12, 星期三 ,2℃,-4℃,阴转多云,微风 小于3级
北京,海淀,2012-12-13, 星期四 ,0℃,-4℃,雾转小雪,微风 小于3级
北京,海淀,2012-12-14, 星期五 ,1℃,-3℃,中雪转小雪,微风 小于3级
北京,海淀,2012-12-15, 星期六 ,2℃,-3℃,雾,微风 小于3级
北京,海淀,2012-12-16, 星期日 ,-1℃,-3℃,小雪,微风 小于3级
北京,海淀,2012-12-17, 星期一 ,-1℃,-8℃,阴转晴,北风 3-4级~5-6级
北京,海淀,2012-12-18, 星期二 ,-1℃,-10℃,晴,北风~微风 3-4级~小于3级
北京,海淀,2012-12-19, 星期三 ,-1℃,-6℃,晴转多云,微风 小于3级
北京,海淀,2012-12-20, 星期四 ,-2℃,-6℃,多云转小雪,微风 小于3级
北京,海淀,2012-12-21, 星期五 ,1℃,-9℃,阴转多云,微风 小于3级
北京,海淀,2012-12-22, 星期六 ,-3℃,-13℃,阴转晴,北风 4-5级
北京,海淀,2012-12-23, 星期日 ,-5℃,-12℃,阴转晴,北风~微风 4-5级~小于3级
北京,海淀,2012-12-24, 星期一 ,-2℃,-11℃,晴,北风 3-4级~4-5级
北京,海淀,2012-12-25, 星期二 ,-2℃,-11℃,晴,北风~微风 4-5级~小于3级
北京,海淀,2012-12-26, 星期三 ,-1℃,-11℃,晴,微风 小于3级
北京,海淀,2012-12-27, 星期四 ,-3℃,-7℃,多云转阴,微风 小于3级
北京,海淀,2012-12-28, 星期五 ,-4℃,-8℃,小雪,微风~北风 小于3级~5-6级
北京,海淀,2012-12-29, 星期六 ,-4℃,-9℃,多云转晴,西北风~北风 5-6级~3-4级
北京,海淀,2012-12-30, 星期日 ,-2℃,-9℃,晴,北风~微风 4-5级~小于3级
北京,海淀,2012-12-31, 星期一 ,-3℃,-9℃,晴转多云,微风~北风 小于3级~3-4级
北京,朝阳,2012-01-01,  ,3℃,-4℃,多云~阴,无持续风向 微风
北京,朝阳,2012-01-02,  ,2℃,-6℃,晴,北风 4-5级
北京,朝阳,2012-01-03,  ,1℃,-8℃,晴,北风~无持续风向 3-4级~微风
北京,朝阳,2012-01-04,  ,1℃,-10℃,晴,无持续风向 微风
北京,朝阳,2012-01-05,  ,2℃,-8℃,晴~多云,无持续风向 微风
北京,朝阳,2012-01-06,  ,0℃,-6℃,阴,无持续风向 微风
